"j","n","method","ISE","time_seconds"
1,100,"WK",0.000986347484122869,22.7339308261871
1,100,"LG",0.00105487054405565,472.03179192543
2,100,"WK",0.00293825005414602,23.6561193466187
2,100,"LG",0.00281182865864449,528.255755186081
3,100,"WK",0.158571532523663,33.3397090435028
3,100,"LG",3.55593333934005e-05,35.6857743263245
4,100,"WK",0.219547178598069,28.0133092403412
4,100,"LG",0.317872896669382,275.666640996933
5,100,"WK",0.133000982305205,15.870703458786
5,100,"LG",0.00791467043717261,140.061128139496
6,100,"WK",1.48659136283938e-05,6.39451456069946
6,100,"LG",5.89566019259908e-06,35.9773857593536
